Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
516000,0.17080355,1.3824565,0.1276888,0.012392689,0.00029969407,0.19989803,0.0009989905,173.6875,-2.015699990093708,-2.015699990093708,1.0
528000,-0.2430188,1.3832577,0.051100135,0.016862651,0.0002996869,0.19989562,0.0009989667,313.8,-2.024807671514841,-2.024807671514841,1.0
540000,-0.18168615,1.380758,0.068688996,0.017825555,0.0002996799,0.19989328,0.0009989437,423.0,-2.039849982907375,-2.039849982907375,1.0
552000,-0.05148941,1.3793468,0.09712395,0.018150544,0.00029967268,0.1998909,0.0009989197,578.2727272727273,1.2149000337178057,1.2149000337178057,1.0
564000,0.18878289,1.3762734,0.29451743,0.01833334,0.0002996654,0.19988845,0.0009988958,625.6349206349206,1.4784524707032032,1.4784524707032032,1.0
576000,0.44929206,1.3741845,0.10640734,0.021683613,0.00029965784,0.19988593,0.0009988708,607.3333333333334,1.6313615613258803,1.6313615613258803,1.0
588000,0.31895164,1.3729306,0.06543359,0.018704318,0.00029965036,0.19988346,0.0009988463,562.2222222222222,1.0545111381345325,1.0545111381345325,1.0
600000,0.15757988,1.3721831,0.04264903,0.016170872,0.00029964346,0.19988115,0.0009988234,587.6363636363636,1.0533777996897697,1.0533777996897697,1.0
612000,0.07184739,1.3727689,0.045816395,0.023866706,0.00029963662,0.19987887,0.0009988007,519.5,0.1681000284022755,0.1681000284022755,1.0
624000,0.08828798,1.3723934,0.24539542,0.014892189,0.00029962944,0.19987647,0.0009987771,649.1509433962265,1.7616326290628184,1.7616326290628184,1.0
636000,0.43735045,1.3718368,0.16387212,0.018916216,0.00029962225,0.19987409,0.0009987535,613.3333333333334,1.8040300021568934,1.8040300021568934,1.0
648000,0.43066928,1.3712084,0.07618856,0.01742678,0.00029961488,0.19987161,0.0009987291,440.61538461538464,0.6188555649585195,0.6188555649585195,1.0
660000,0.21904598,1.3707128,0.13002184,0.013880312,0.00029960755,0.19986917,0.0009987049,544.1428571428571,0.19984376709908247,0.19984376709908247,1.0
672000,0.08323563,1.369862,0.069040656,0.014211501,0.00029960027,0.19986677,0.000998681,546.5333333333333,0.7155384822533681,0.7155384822533681,1.0
684000,0.17077614,1.3693061,0.22485416,0.016946428,0.0002995933,0.19986443,0.0009986578,571.6363636363636,1.5796954709697852,1.5796954709697852,1.0
696000,0.33245745,1.3691834,0.12996729,0.014202024,0.00029958604,0.19986203,0.000998634,503.4166666666667,1.0240577052419002,1.0240577052419002,1.0
708000,0.23546937,1.370264,0.17723,0.018301703,0.00029957897,0.19985963,0.0009986105,401.2857142857143,0.036135013401508334,0.036135013401508334,1.0
