Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1524000,1.3382034,0.10847813,0.015621267,0.013960087,0.00029908915,0.19969638,0.0009969942,616.0,-1.0613997876644135,-1.0613997876644135,1.0
1536000,1.3367766,0.20578356,0.018198455,0.019591192,0.00029908196,0.199694,0.0009969705,None,None,None,1.0
1548000,1.3360841,0.22179055,0.021642372,0.01724594,0.00029907477,0.19969158,0.0009969467,None,None,None,1.0
1560000,1.3350973,0.20862724,0.02482727,0.016439533,0.00029906756,0.19968916,0.000996923,991.0,-1.0988997146487236,-1.0988997146487236,1.0
1572000,1.3340983,0.22531591,0.028037526,0.022319391,0.0002990603,0.19968678,0.000996899,1124.6666666666667,None,None,1.0
1584000,1.3326753,0.7333411,0.22888099,0.01863072,0.00029905303,0.19968434,0.000996875,1201.776595744681,4.01967262730156,4.01967262730156,1.0
1596000,1.3308244,0.7243907,0.03736447,0.012924835,0.00029904637,0.19968213,0.0009968531,1300.0,3.870400235056877,3.870400235056877,1.0
1608000,1.3293136,0.4451292,0.03902865,0.017102605,0.0002990392,0.19967973,0.0009968295,None,None,None,1.0
1620000,1.3289342,0.29353485,0.025093665,0.0155917285,0.00029903202,0.19967735,0.0009968057,None,None,None,1.0
1632000,1.3289973,0.18316601,0.046551857,0.01734096,0.0002990249,0.19967496,0.0009967821,587.0,-1.1481998220086098,-1.1481998220086098,1.0
1644000,1.3292563,0.12989067,0.025551379,0.02200379,0.00029901724,0.19967243,0.000996757,None,1.9159004613757133,1.9159004613757133,1.0
1656000,1.3300683,0.19595127,0.022221288,0.019361997,0.00029900947,0.1996698,0.0009967312,None,None,None,1.0
1668000,1.3301854,0.20283695,0.016094549,0.021621501,0.00029900225,0.19966741,0.0009967075,None,None,None,1.0
1680000,1.3296642,0.22014497,0.04429008,0.019461341,0.0002989951,0.19966502,0.0009966838,986.8333333333334,4.557833743592103,4.557833743592103,1.0
1692000,1.3277841,0.4830084,0.19763263,0.018850097,0.000298988,0.19966266,0.0009966603,1107.2985074626865,3.963365022213228,3.963365022213228,1.0
1704000,1.3261789,0.86633795,0.068384424,0.014026189,0.00029898147,0.1996605,0.0009966388,1131.6666666666667,4.112145305193704,4.112145305193704,1.0
1716000,1.3255008,0.82085294,0.047756925,0.012058622,0.00029897384,0.19965796,0.0009966136,None,None,None,1.0
1728000,1.326048,0.37777174,0.044071842,0.018320335,0.00029896668,0.19965555,0.00099659,632.3333333333334,0.2703002293904622,0.2703002293904622,1.0
1740000,1.3255332,0.17626984,0.06959541,0.019322438,0.00029895964,0.1996532,0.0009965667,742.5555555555555,1.5372225890556972,1.5372225890556972,1.0
1752000,1.3243699,0.17434005,0.055312518,0.014000602,0.00029895257,0.19965084,0.0009965434,702.0,0.9301336109638214,0.9301336109638214,1.0
1764000,1.3240776,0.24361117,0.024346203,0.021614283,0.00029894538,0.19964845,0.0009965198,None,None,None,1.0
1776000,1.3244336,0.2612512,0.02246965,0.014288376,0.0002989382,0.19964607,0.0009964961,1024.0,3.898000553250313,3.898000553250313,1.0
1788000,1.324681,0.23246932,0.06231911,0.018831829,0.00029893112,0.19964372,0.0009964727,1011.8,3.122089288300938,3.122089288300938,1.0
1800000,1.3249043,0.48172477,0.22956471,0.012540877,0.00029892393,0.1996413,0.000996449,1040.3636363636363,4.012497497209604,4.012497497209604,1.0
1812000,1.3246794,0.81097424,0.058346167,0.016296014,0.00029891694,0.19963898,0.0009964259,1071.0,4.061650426437457,4.061650426437457,1.0
1824000,1.3242201,0.6831412,0.039473873,0.021862576,0.00029890976,0.19963658,0.0009964022,999.0,0.900700569152832,0.900700569152832,1.0
1836000,1.3240795,0.26118422,0.078567445,0.013110775,0.00029890213,0.19963405,0.0009963771,610.3333333333334,0.6892502599706253,0.6892502599706253,1.0
1848000,1.324538,0.07549777,0.17058589,0.014169683,0.00029889497,0.19963168,0.0009963535,680.0,0.3931194492257558,0.3931194492257558,1.0
