Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
30000,-0.087254554,1.4144769,0.0029999986,0.00867023,0.026933486,-28.085104209467925,508.9791666666667,-28.085108645260334
40000,-0.30908558,1.4098655,0.0029999984,2.5753243,0.025098583,None,None,None
50000,-0.3013677,1.4094615,0.0029999975,0.0067647304,0.022254614,-13.753333385412892,551.0833333333334,-13.760906997052105
60000,-0.27298173,1.4121798,0.0029999965,None,None,-13.660000052303076,553.0,-13.660268122279966
70000,-0.15209587,1.4024869,0.002999996,1.8421057,0.026486296,None,None,None
80000,-0.3090001,1.4046305,0.0029999951,0.007149362,0.020286437,-11.298541715407433,545.6666666666666,-11.298541158437729
90000,-0.30396426,1.4020754,0.002999995,5.8058124,0.024801752,None,None,None
100000,0.018653436,1.4007987,0.0029999947,0.030261915,0.022802465,-21.320454587059263,445.27272727272725,-21.339497411251067
110000,-0.20031348,1.4013333,0.0029999937,3.3704288,0.022054521,-18.26864869399248,455.97297297297297,-18.343944146444922
120000,0.026769206,1.4004877,0.0029999926,0.02969092,0.020773415,-17.515714328469976,442.14285714285717,-17.515711388417653
130000,-0.33791226,1.4004794,0.0029999928,1.7468113,0.022557396,-13.901585409485895,442.0243902439024,-13.90158353709593
140000,0.0949242,1.4030799,0.0029999919,0.02052241,0.017471094,None,None,None
150000,-0.11473248,1.4034454,0.0029999914,1.1239918,0.025606006,-10.664375041960739,440.5208333333333,-10.664374151577553
160000,-0.19134583,1.4039171,0.0029999912,0.2103066,0.026620086,-7.615625023026951,283.5625,-7.615624535828829
170000,-0.05112725,1.3976063,0.0029999905,2.5339768,0.033111673,None,None,None
180000,-0.35626218,1.4024523,0.0029999898,1.1479061,0.024233086,-13.805937529017683,340.5625,-13.805935813734928
190000,-0.61197567,1.4147121,0.0029999886,0.090973645,0.021880332,None,None,None
200000,-0.1626548,1.4183251,0.002999988,0.02253988,0.020901345,-8.599583382795876,524.7708333333334,-8.599583012362322
210000,-0.5884945,1.4251246,0.0029999875,8.459631,0.02302758,None,None,None
220000,-0.41676095,1.4238961,0.0029999875,None,None,-22.76427086467932,358.3333333333333,-22.7642694140474
230000,-0.5301518,1.4214491,0.0029999872,1.860822,0.021936843,None,None,None
240000,-0.2227829,1.4193431,0.0029999863,0.079674885,0.024447216,-10.44020838077025,453.7708333333333,-10.44020813703537
250000,-0.35301203,1.4139638,0.0029999856,0.7097369,0.021685382,None,None,None
260000,-0.4230425,1.4141462,0.0029999847,0.24725059,0.025694396,-8.470000031869859,320.5208333333333,-8.470000145956874
270000,-0.3619238,1.4126153,0.0029999842,1.3494917,0.020458927,None,None,None
280000,0.16170226,1.4123341,0.0029999835,0.03327048,0.023562279,-5.456346205543154,522.7692307692307,-5.356800241470337
290000,-0.6692971,1.4130962,0.0029999835,3.4416091,0.019217884,-11.932272779585963,528.8636363636364,-11.758912070937779
300000,0.19535857,1.4087718,0.0029999823,0.9317507,0.022443762,None,None,None
310000,-0.35316366,1.404115,0.0029999816,0.014679566,0.020404564,-16.135625044931658,487.375,-16.135623163233202
320000,-0.3102016,1.4019977,0.0029999812,2.9019752,0.02351644,None,None,None
330000,0.3417205,1.4009124,0.0029999802,0.03465683,0.022207625,-12.597187549050432,494.2291666666667,-12.597186190386614
