Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.003,-0.930718953459481,55.751633986928105,0.15583546,-0.9307189351982541
20000,1.4220423,0.0029999989,-0.8462937055872037,64.86713286713287,0.07240569,-0.8462936909205013
30000,1.4211746,0.0029999986,-0.7417460310435484,73.36507936507937,-0.08101641,-0.7394399889856577
40000,1.4140087,0.002999998,-0.6779646009569411,77.64601769911505,-0.1846149,-0.681052620261254
50000,1.4016286,0.0029999968,-0.554337348317705,99.6867469879518,-0.2409879,-0.5543373441435846
60000,1.3879055,0.002999996,-0.3520588220699745,127.45588235294117,-0.24323477,-0.35205881782423926
70000,1.3778573,0.002999996,-0.2810447743412719,132.61194029850745,-0.23119205,-0.28104476494464414
80000,1.3713399,0.0029999954,-0.1130434752482435,170.7391304347826,-0.17755261,-0.11304345722917629
90000,1.3597264,0.0029999947,0.03851064147942878,185.87234042553192,-0.12044831,0.03851065364606837
100000,1.3560666,0.0029999947,0.24789474071248582,218.02631578947367,-0.06553495,0.24789475816252984
110000,1.3537765,0.0029999937,0.3361363675529984,227.20454545454547,-0.042990018,0.3361363913440569
120000,1.3494602,0.0029999926,0.2990909145975655,239.3030303030303,0.016828211,0.2990909339013425
130000,1.3437854,0.0029999923,0.5900000054389238,244.66666666666666,0.06295154,0.5900000371728782
140000,1.3384184,0.0029999916,0.5697500079404563,269.05,0.0773185,0.5697500398848205
150000,1.3323337,0.0029999912,0.6505555608827207,259.22222222222223,0.0921342,0.6505556029991971
160000,1.3259082,0.0029999912,0.3346153930402719,266.15384615384613,0.065770745,0.3346154226993139
170000,1.3216497,0.0029999907,0.08923077927185939,237.07692307692307,0.05373845,0.0892308340049707
180000,1.3170098,0.0029999895,0.1314285924392087,351.2857142857143,0.070007004,0.13142868344272887
190000,1.3117869,0.0029999889,0.46428572785641464,317.0,0.015037671,0.46428579424640964
200000,1.306208,0.0029999882,0.08250002050772309,418.5,-0.07141582,0.08250009547919035
210000,1.2988439,0.002999988,-0.1559999629855156,449.6,-0.12460123,-0.15599983856081961
220000,1.2964629,0.0029999872,-0.018749922746792436,762.375,-0.15431559,-0.01874962728470564
230000,1.2947801,0.0029999872,-0.013749932637438178,722.375,-0.15431547,-0.013749690959230065
240000,1.2936395,0.0029999863,-0.306428470382733,927.7857142857143,-0.11618492,-0.3064281329778688
250000,1.2925855,0.0029999851,-0.46699991915374994,748.8,-0.100187235,-0.46699962895363567
260000,1.291856,0.0029999844,-0.5835713404896004,810.6428571428571,-0.05729567,-0.5835710064108882
270000,1.285356,0.0029999842,0.16666676538685957,888.4166666666666,-0.01076878,0.1666671329488357
280000,1.28036,0.002999984,-1.2370587110738545,924.2352941176471,-0.017218636,-1.2370582944987452
290000,1.2820076,0.002999984,-0.7814999160356819,719.1,0.003082424,-0.7814995647408068
300000,1.2801235,0.0029999826,-0.9505262274883295,786.1578947368421,0.06496036,-0.9505259008391908
310000,1.2688755,0.0029999816,-0.2072726566005837,649.7272727272727,0.040082514,-0.20727239379828627
320000,1.2665697,0.0029999819,-0.7759999368339777,579.1,-0.018575327,-0.7759996995329856
330000,1.2674696,0.0029999802,0.3637500044424087,239.25,-0.08541561,0.37000004415001186
340000,1.2627667,0.0029999805,-0.8085713689880711,539.2857142857143,-0.18602222,-0.6674997447989881
350000,1.2579247,0.00299998,-0.3462499538436532,480.9375,-0.2001087,-0.3462497640866786
360000,1.2517372,0.0029999793,-0.6524999686516821,327.0,-0.22412167,-0.652499841991812
370000,1.245208,0.002999978,0.0983333367233475,161.5,-0.2689482,0.09833337708065908
380000,1.2422422,0.002999978,-3.219999849796295,1066.5,-0.34393895,-3.219999230466783
390000,1.2395976,0.0029999767,None,None,-0.38384685,None
400000,1.2350426,0.0029999758,-2.8657141450260366,1017.7142857142857,-0.44038296,-2.8657135324818745
410000,1.2314423,0.0029999758,None,None,-0.49361053,None
420000,1.2251819,0.0029999744,-3.899999812245369,1343.5,-0.5305832,-3.8999990643933415
430000,1.2192404,0.002999974,None,None,-0.5918553,None
440000,1.2123101,0.0029999733,-3.6399998515844345,1003.0,-0.59915805,-3.639999298378825
450000,1.2026404,0.0029999726,-8.539999637752771,2317.3333333333335,-0.61698174,-8.539998332038522
460000,1.1976067,0.002999972,-7.759999703615904,1843.0,-0.62735665,-7.759998641908169
