Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.0029999998,-1.376322571656877,60.41290322580645,-0.030969013,-1.3763225411695819
20000,1.4103711,0.0029999989,-1.2940476106124974,70.45238095238095,-0.2335127,-1.2940475738917787
30000,1.4023695,0.0029999986,-1.1822330015123759,90.50485436893204,-0.33623376,-1.1780807810148808
40000,1.3926455,0.0029999982,-1.0189999921713024,112.5125,-0.38009012,-1.0316666395713885
50000,1.3778001,0.0029999972,-0.9391249922802671,130.5625,-0.39508846,-0.9391249754233286
60000,1.3660686,0.0029999968,-0.9375409763917083,137.27868852459017,-0.41241807,-0.9375409630478405
70000,1.3579966,0.0029999958,-0.912884606155925,173.26923076923077,-0.43062714,-0.9128845878160343
80000,1.3562192,0.0029999954,-0.8982222105893823,196.44444444444446,-0.41388774,-0.8928571124782875
90000,1.349129,0.002999995,-0.8325581271634546,207.97674418604652,-0.395697,-0.8417390933989183
100000,1.3440378,0.0029999944,-0.9847499819006771,262.275,-0.45082015,-0.9847499371506274
110000,1.3387135,0.0029999935,-1.054999982664252,250.38235294117646,-0.42696452,-1.0549999483696677
120000,1.3310782,0.002999993,-0.8424999825656414,270.5416666666667,-0.36757007,-0.8424999359995127
130000,1.3266068,0.0029999928,-0.9124137700117868,334.37931034482756,-0.37857854,-0.91241370006625
140000,1.3220712,0.0029999919,-1.2487499688286334,386.8333333333333,-0.40267578,-1.2487499023942898
150000,1.3151304,0.0029999914,-1.0391304115562334,336.4782608695652,-0.35419,-1.039130366447827
160000,1.3084553,0.002999991,-1.1937036745388199,425.77777777777777,-0.30144146,-1.1937035963077236
170000,1.3023314,0.0029999905,-0.9970833068558326,401.6666666666667,-0.32683355,-0.9970832202428331
180000,1.2951934,0.0029999895,-0.9517241155022177,363.17241379310343,-0.26584414,-0.9517240760012947
190000,1.2913404,0.0029999889,-1.0617391052453413,407.95652173913044,-0.24865612,-1.0617390501758326
200000,1.2919729,0.002999988,-1.0095833065764357,416.5416666666667,-0.2693597,-1.009583240452533
210000,1.2880818,0.0029999877,-1.1156249708728865,456.625,-0.22720365,-1.1156248942716047
220000,1.2807484,0.0029999872,-1.1306666317085425,508.46666666666664,-0.20509362,-1.1306665019442639
230000,1.2791966,0.0029999868,-1.3470587848740465,601.4117647058823,-0.22641474,-1.3470586628160055
240000,1.2770768,0.0029999856,-1.1735293769880253,569.2352941176471,-0.19148658,-1.1735292853897108
250000,1.2746288,0.0029999856,-1.089230728550599,640.9230769230769,-0.20598906,-1.0892306335556965
260000,1.271618,0.002999985,-1.0587499651592225,550.625,-0.20011291,-1.058749875985086
270000,1.2705606,0.0029999842,-1.2813332897921403,699.5333333333333,-0.19336179,-1.281333164870739
280000,1.2719479,0.0029999835,-0.7833332904924949,732.2,-0.18419226,-0.7833331578721603
290000,1.2666249,0.0029999835,-0.8892856728551644,760.9285714285714,-0.21085168,-0.8892855874395796
300000,1.2659303,0.0029999823,-1.3399999502759714,814.6923076923077,-0.17441909,-1.339999803270285
310000,1.268862,0.0029999816,-1.4483332879220445,738.5833333333334,-0.20822845,-1.4483331635904808
320000,1.2655966,0.002999981,-1.3223076481372118,719.1538461538462,-0.16834392,-1.3223075441156442
330000,1.263816,0.0029999807,-1.0694117230527542,730.4705882352941,-0.17599784,-1.0694116234560223
340000,1.2633157,0.0029999802,-1.1416666187966864,758.0,-0.19061093,-1.1416665039335687
350000,1.2585565,0.00299998,-1.0583332910512884,823.5,-0.17602772,-1.058333169048031
360000,1.2557526,0.0029999793,-1.2981817708774046,830.4545454545455,-0.1575634,-1.2981816365976224
370000,1.2542771,0.0029999784,-1.36199994944036,841.0,-0.15363537,-1.3619998047128319
380000,1.2502757,0.002999978,-0.9633332819988331,938.5555555555555,-0.13141322,-0.963333160099056
390000,1.2503606,0.0029999772,-1.1530768697938094,921.8461538461538,-0.14351143,-1.1530767024423068
400000,1.2507994,0.0029999765,-1.0333332816759746,962.5555555555555,-0.12630075,-1.033333129559954
410000,1.2474257,0.0029999756,-1.2742856586618083,981.5714285714286,-0.12659188,-1.2742855021996158
420000,1.2457699,0.0029999744,-1.1899999448408682,1035.888888888889,-0.09663351,-1.1899998067981667
430000,1.2440774,0.0029999744,-1.7874999321065843,1135.0,-0.09793074,-1.7874997090548277
440000,1.2428485,0.0029999737,-1.414545396512205,1015.6363636363636,-0.15578572,-1.414545246992599
450000,1.2368037,0.002999973,-1.8099999316036701,1109.125,-0.11287042,-1.8099997318349779
460000,1.230509,0.0029999728,-1.9257142091436046,1257.2857142857142,-0.10131024,-1.9257139579526015
470000,1.224239,0.0029999719,-2.0149999177083373,1288.0,-0.14587057,-2.0149996569380164
480000,1.2193986,0.0029999719,-1.7449999256059527,1231.6666666666667,-0.15126593,-1.7449996496240299
490000,1.2135717,0.0029999705,-1.8863635677844286,1071.090909090909,-0.1477568,-1.8863633395257322
500000,1.2103076,0.0029999702,-2.069999923929572,1198.8333333333333,-0.14344293,-2.069999700412154
510000,1.2098463,0.0029999693,-1.5216665944705408,1130.6666666666667,-0.16253632,-1.5216663739023109
520000,1.21225,0.002999969,-1.7085713616439275,989.2857142857143,-0.14594679,-1.7085711692592926
530000,1.2143253,0.0029999686,-1.5099999378011986,1115.5454545454545,-0.18674836,-1.5099997574632817
540000,1.2111274,0.002999968,-1.3442856459213155,1180.857142857143,-0.21411029,-1.3442854450217314
550000,1.2056667,0.0029999672,-1.3971427979746036,978.2857142857143,-0.17466712,-1.3971426481647151
560000,1.2002107,0.0029999665,-1.1608332803783317,1014.1666666666666,-0.15151352,-1.1608331425425906
570000,1.194459,0.0029999658,-1.3284614864163673,881.9230769230769,-0.20698215,-1.3284613616191423
