Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
150000,0.12676327,1.396258,0.0029999914,0.0030098832,0.023028757,-1.4000000189989805,394.0,-1.400000050663948
160000,0.11913427,1.3938707,0.0029999912,0.0021878572,0.022132361,-1.5460000259336084,538.0,-1.546000063419342
170000,0.12432066,1.3879317,0.00299999,None,None,None,None,None
180000,0.10466654,1.3827878,0.0029999893,0.00067338947,0.019210752,None,None,None
190000,0.09523798,1.3694845,0.002999989,0.0006048072,0.023147264,None,None,None
200000,0.08610823,1.3652973,0.0029999882,0.0017697277,0.029598279,-2.9722000936744735,1942.0,-2.972200120985508
210000,0.06689535,1.3655906,0.0029999877,0.008196125,0.024253989,-2.9752858081067513,1945.0,-2.9752857983112335
220000,0.04153276,1.3631532,0.0029999872,0.0021194876,0.022122314,-1.532000025268644,524.0,-1.5320000052452087
230000,0.024385743,1.3579224,0.0029999868,0.0015077194,0.025080316,None,None,None
240000,0.0017603596,1.3538331,0.0029999856,0.00042829753,0.029868586,None,None,None
250000,-0.011255466,1.3450634,0.0029999854,0.00028727078,0.02406965,None,None,None
260000,-0.016245972,1.3402357,0.0029999851,0.0001721079,0.0247779,None,None,None
270000,-0.018744156,1.3279356,0.002999984,0.00013202717,0.019882249,None,None,None
280000,-0.029379582,1.3207945,0.0029999837,0.00019453853,0.0252395,None,None,None
290000,-0.03865777,1.3110503,0.0029999833,0.0001368301,0.025323844,None,None,None
300000,-0.0425651,1.3080628,0.002999982,None,None,None,None,None
310000,-0.04952822,1.3048828,0.0029999819,0.000103823404,0.016900273,None,None,None
